concelho.y,ano,Pop,H,M
Sabrosa,2010,6378,3077,3301
Santa Marta de Penaguião,2010,7371,3473,3898
São João da Pesqueira,2010,7905,3905,4000
Sernancelhe,2010,5681,2755,2926
Tabuaço,2010,6364,3054,3310
Tarouca,2010,8068,3909,4159
Torre de Moncorvo,2010,8613,4131,4482
Vila Flor,2010,6713,3225,3488
Vila Nova de Foz Côa,2010,7322,3464,3858
Vila Real,2010,51923,24706,27217
Alfandega da Fé,2010,5105,2469,2636
Boticas,2010,5768,2790,2978
Bragança,2010,35394,17001,18393
Chaves,2010,41336,19787,21549
Macedo de Cavaleiros,2010,15806,7514,8292
Miranda do Douro,2010,7512,3684,3828
Mirandela,2010,23902,11381,12521
Mogadouro,2010,9565,4711,4854
Montalegre,2010,10578,5115,5463
Murça,2010,5962,2895,3067
Valpaços,2010,16931,8005,8926
Vila Pouca de Aguiar,2010,13214,6376,6838
Vimioso,2010,4701,2299,2402
Vinhais,2010,9098,4499,4599
Águeda,2010,47787,22930,24857
Albergaria-a-Velha,2010,25282,12240,13042
Anadia,2010,29208,13997,15211
Aveiro,2010,78463,37147,41316
Estarreja,2010,27010,13026,13984
Ílhavo,2010,38624,18431,20193
Mealhada,2010,20462,9853,10609
Murtosa,2010,10601,5101,5500
Oliveira do Bairro,2010,23029,10911,12118
Ovar,2010,55436,26698,28738
Sever do Vouga,2010,12391,5983,6408
Vagos,2010,22872,10995,11877
Cantanhede,2010,36657,17427,19230
Coimbra,2010,143589,67045,76544
Condeixa-a-Nova,2010,17109,8016,9093
Figueira da Foz,2010,62263,29455,32808
Mira,2010,12497,5922,6575
Montemor-o-Velho,2010,26207,12632,13575
Penacova,2010,15286,7227,8059
Soure,2010,19298,9188,10110
Batalha,2010,15830,7663,8167
Leiria,2010,126925,61338,65587
Marinha Grande,2010,38726,18669,20057
Pombal,2010,55339,26509,28830
Porto de Mós,2010,24374,11883,12491
Alvaiázere,2010,7322,3419,3903
Ansião,2010,13166,6212,6954
Arganil,2010,12183,5805,6378
Castanheira de Pêra,2010,3206,1523,1683
Figueiró dos Vinhos,2010,6193,2905,3288
Góis,2010,4272,2008,2264
Lousã,2010,17619,8533,9086
Miranda do Corvo,2010,13131,6333,6798
Oliveira do Hospital,2010,20900,10033,10867
Pampilhosa da Serra,2010,4507,2082,2425
Pedrógão Grande,2010,3932,1862,2070
Penela,2010,5995,2849,3146
Tábua,2010,12113,5766,6347
Vila Nova de Poiares,2010,7289,3493,3796
Aguiar da Beira,2010,5497,2596,2901
Carregal do Sal,2010,9837,4665,5172
Castro Daire,2010,15369,7383,7986
Mangualde,2010,19929,9577,10352
Mortágua,2010,9634,4641,4993
Nelas,2010,14037,6680,7357
Oliveira de Frades,2010,10273,4879,5394
Penalva do Castelo,2010,7967,3822,4145
Santa Comba Dão,2010,11612,5478,6134
São Pedro do Sul,2010,16880,7914,8966
Sátão,2010,12491,5925,6566
Tondela,2010,29014,13772,15242
Vila Nova de Paiva,2010,5183,2464,2719
Viseu,2010,99313,46945,52368
Vouzela,2010,10575,5037,5538
Mação,2010,7383,3513,3870
Oleiros,2010,5747,2734,3013
Proença-a-Nova,2010,8343,4001,4342
Sertã,2010,15934,7575,8359
Vila de Rei,2010,3466,1590,1876
Fornos de Algodres,2010,4993,2353,2640
Gouveia,2010,14096,6530,7566
Seia,2010,24758,11782,12976
Almeida,2010,7279,3412,3867
Celorico da Beira,2010,7724,3634,4090
Figueira de Castelo Rodrigo,2010,6282,3012,3270
Guarda,2010,42615,20359,22256
Manteigas,2010,3445,1629,1816
Meda,2010,5220,2466,2754
Pinhel,2010,9647,4596,5051
Sabugal,2010,12591,5912,6679
Trancoso,2010,9922,4716,5206
Castelo Branco,2010,56218,26706,29512
Idanha-a-Nova,2010,9764,4644,5120
Penamacor,2010,5733,2792,2941
Vila Velha de Ródão,2010,3538,1653,1885
Belmonte,2010,6877,3303,3574
Covilhã,2010,51901,24776,27125
Fundão,2010,29276,14044,15232
Alcobaça,2010,56815,27533,29282
Alenquer,2010,43303,21098,22205
Arruda dos Vinhos,2010,13395,6569,6826
Bombarral,2010,13209,6369,6840
